ID,Year,Month,Day,Hour,Minute,Second,Millisecond,Brightness,Temperature,Humidity,x Accel,y Accel,z Accel,x Gyro,y Gyro,z Gyro
0,2017,11,22,22,57,52,1934,760.0,18.7,34.4,3380.0,5568.0,-16396.0,-351.0,75.0,82.0
1,2017,11,22,22,57,53,2546,761.0,18.7,34.4,3412.0,5440.0,-16464.0,-341.0,60.0,51.0
2,2017,11,22,22,57,53,3157,760.0,18.7,34.4,3396.0,5488.0,-16384.0,-388.0,-28.0,117.0
3,2017,11,22,22,57,54,3764,759.0,18.7,34.4,3444.0,5444.0,-16436.0,-322.0,92.0,52.0
4,2017,11,22,22,57,54,4373,759.0,18.7,34.4,3444.0,5548.0,-16444.0,-346.0,74.0,82.0
5,2017,11,22,22,57,55,4982,758.0,18.7,34.4,3464.0,5532.0,-16312.0,-377.0,98.0,70.0
6,2017,11,22,22,57,56,5592,758.0,18.7,34.4,3356.0,5512.0,-16380.0,-339.0,96.0,76.0
7,2017,11,22,22,57,56,6201,757.0,18.7,34.4,3476.0,5480.0,-16364.0,-354.0,78.0,84.0
8,2017,11,22,22,57,57,6806,758.0,18.7,34.4,3316.0,5520.0,-16372.0,-359.0,98.0,64.0
9,2017,11,22,22,57,57,7415,758.0,18.7,34.4,3384.0,5536.0,-16396.0,-360.0,97.0,37.0
10,2017,11,22,22,57,58,8021,758.0,18.7,34.4,3488.0,5552.0,-16588.0,-335.0,90.0,56.0
11,2017,11,22,22,57,59,8630,759.0,18.7,34.4,3456.0,5480.0,-16464.0,-356.0,82.0,75.0
12,2017,11,22,22,57,59,9235,759.0,18.7,34.4,3408.0,5480.0,-16292.0,-354.0,59.0,47.0
13,2017,11,22,22,58,0,9842,760.0,18.7,34.4,3424.0,5600.0,-16404.0,-360.0,53.0,71.0
14,2017,11,22,22,58,0,10455,759.0,18.7,34.4,3404.0,5472.0,-16400.0,-351.0,44.0,62.0
15,2017,11,22,22,58,1,11062,758.0,18.7,34.4,3424.0,5552.0,-16524.0,-362.0,77.0,63.0
16,2017,11,22,22,58,2,11673,759.0,18.7,34.4,3412.0,5584.0,-16296.0,-348.0,67.0,85.0
17,2017,11,22,22,58,2,12280,757.0,18.7,34.4,3404.0,5580.0,-16600.0,-368.0,58.0,40.0
18,2017,11,22,22,58,3,12887,758.0,18.7,34.4,3444.0,5472.0,-16436.0,-370.0,62.0,88.0
19,2017,11,22,22,58,4,13493,759.0,18.7,34.4,3460.0,5608.0,-16416.0,-342.0,97.0,62.0
20,2017,11,22,22,58,4,14097,760.0,18.7,34.4,3444.0,5632.0,-16460.0,-346.0,73.0,77.0
21,2017,11,22,22,58,5,14705,760.0,18.7,34.4,3420.0,5504.0,-16428.0,-374.0,55.0,69.0
22,2017,11,22,22,58,5,15312,760.0,18.7,34.4,3436.0,5516.0,-16504.0,-382.0,112.0,64.0
23,2017,11,22,22,58,6,15923,760.0,18.7,34.4,3452.0,5492.0,-16480.0,-375.0,94.0,57.0
24,2017,11,22,22,58,7,16527,760.0,18.7,34.4,3420.0,5600.0,-16436.0,-342.0,55.0,64.0
25,2017,11,22,22,58,7,17130,760.0,18.7,34.4,3400.0,5536.0,-16472.0,-336.0,59.0,63.0
26,2017,11,22,22,58,8,17741,760.0,18.7,34.4,3424.0,5468.0,-16476.0,-374.0,58.0,51.0
27,2017,11,22,22,58,8,18344,759.0,18.7,34.4,3476.0,5468.0,-16464.0,-377.0,46.0,78.0
28,2017,11,22,22,58,9,18950,760.0,18.7,34.4,3356.0,5536.0,-16336.0,-350.0,45.0,48.0
29,2017,11,22,22,58,10,19559,759.0,18.7,34.4,3464.0,5484.0,-16444.0,-358.0,91.0,85.0
30,2017,11,22,22,58,10,20167,760.0,18.7,34.4,3488.0,5532.0,-16532.0,-343.0,57.0,72.0
31,2017,11,22,22,58,11,20777,760.0,18.7,34.4,3312.0,5500.0,-16572.0,-344.0,59.0,60.0
32,2017,11,22,22,58,11,21386,760.0,18.7,34.4,3372.0,5492.0,-16304.0,-345.0,68.0,79.0
33,2017,11,22,22,58,12,21998,760.0,18.7,34.4,3392.0,5464.0,-16496.0,-351.0,66.0,76.0
34,2017,11,22,22,58,13,22608,761.0,18.7,34.4,3464.0,5548.0,-16332.0,-360.0,80.0,68.0
35,2017,11,22,22,58,13,23216,760.0,18.7,34.4,3368.0,5428.0,-16468.0,-353.0,82.0,71.0
36,2017,11,22,22,58,14,23827,761.0,18.7,34.4,3416.0,5432.0,-16380.0,-337.0,91.0,84.0
37,2017,11,22,22,58,14,24436,762.0,18.7,34.4,3360.0,5572.0,-16500.0,-358.0,78.0,72.0
38,2017,11,22,22,58,15,25045,762.0,18.7,34.4,4000.0,5436.0,-15352.0,-266.0,186.0,2.0
39,2017,11,22,22,58,16,25655,760.0,18.7,34.4,3540.0,5508.0,-15944.0,-370.0,13.0,81.0
40,2017,11,22,22,58,16,26261,760.0,18.7,34.4,3380.0,5520.0,-16600.0,-345.0,27.0,87.0
41,2017,11,22,22,58,17,26871,761.0,18.7,34.4,3396.0,5400.0,-16416.0,-343.0,99.0,76.0
42,2017,11,22,22,58,17,27477,763.0,18.7,34.4,3456.0,5576.0,-16372.0,-377.0,50.0,69.0
43,2017,11,22,22,58,18,28085,771.0,18.7,34.4,3388.0,5496.0,-16596.0,-367.0,51.0,70.0
44,2017,11,22,22,58,19,28693,772.0,18.7,34.4,3468.0,5536.0,-16384.0,-370.0,85.0,76.0
45,2017,11,22,22,58,19,29303,771.0,18.7,34.4,3472.0,5552.0,-16412.0,-364.0,82.0,60.0
46,2017,11,22,22,58,20,29910,774.0,18.7,34.4,3408.0,5464.0,-16436.0,-357.0,70.0,82.0
47,2017,11,22,22,58,21,30518,776.0,18.7,34.4,3452.0,5476.0,-16408.0,-358.0,64.0,83.0
48,2017,11,22,22,58,21,31124,775.0,18.7,34.4,3400.0,5472.0,-16408.0,-377.0,83.0,74.0
49,2017,11,22,22,58,22,31734,776.0,18.7,34.4,3476.0,5432.0,-16376.0,-352.0,81.0,79.0
50,2017,11,22,22,58,22,32338,776.0,18.7,34.4,3448.0,5424.0,-16212.0,-351.0,68.0,69.0
51,2017,11,22,22,58,23,32950,775.0,18.7,34.4,3432.0,5480.0,-16496.0,-370.0,67.0,70.0
52,2017,11,22,22,58,24,33556,776.0,18.7,34.4,3520.0,5548.0,-16396.0,-381.0,61.0,79.0
53,2017,11,22,22,58,24,34159,774.0,18.7,34.4,3464.0,5416.0,-16508.0,-383.0,47.0,103.0
54,2017,11,22,22,58,25,34767,772.0,18.7,34.4,3540.0,5408.0,-16500.0,-363.0,72.0,82.0
55,2017,11,22,22,58,25,35379,767.0,18.7,34.4,3552.0,5404.0,-16448.0,-356.0,97.0,56.0
56,2017,11,22,22,58,26,35988,765.0,18.7,34.4,3412.0,5488.0,-16288.0,-373.0,76.0,62.0
57,2017,11,22,22,58,27,36595,764.0,18.7,34.4,3360.0,5480.0,-16452.0,-323.0,69.0,88.0
58,2017,11,22,22,58,27,37206,763.0,18.7,34.4,3508.0,5548.0,-16532.0,-365.0,67.0,60.0
59,2017,11,22,22,58,28,37814,763.0,18.7,34.4,3408.0,5436.0,-16340.0,-351.0,62.0,67.0
60,2017,11,22,22,58,28,38443,763.0,18.7,34.4,3436.0,5356.0,-16496.0,-320.0,63.0,72.0
61,2017,11,22,22,58,29,39050,764.0,18.7,34.4,3480.0,5428.0,-16424.0,-369.0,78.0,75.0
62,2017,11,22,22,58,30,39653,765.0,18.7,34.4,3452.0,5544.0,-16400.0,-353.0,64.0,70.0
63,2017,11,22,22,58,30,40258,762.0,18.7,34.4,3528.0,5408.0,-16456.0,-362.0,76.0,79.0
64,2017,11,22,22,58,31,40864,762.0,18.7,34.4,3492.0,5472.0,-16444.0,-377.0,56.0,74.0
65,2017,11,22,22,58,31,41471,762.0,18.7,34.4,3468.0,5524.0,-16488.0,-332.0,56.0,71.0
66,2017,11,22,22,58,32,42076,762.0,18.7,34.4,3512.0,5432.0,-16412.0,-339.0,90.0,68.0
67,2017,11,22,22,58,33,42682,761.0,18.7,34.5,3340.0,5468.0,-16384.0,-357.0,77.0,92.0
68,2017,11,22,22,58,33,43287,762.0,18.7,34.5,3400.0,5332.0,-16452.0,-294.0,71.0,82.0
69,2017,11,22,22,58,34,43892,762.0,18.7,34.5,3384.0,5496.0,-16456.0,-331.0,71.0,69.0
70,2017,11,22,22,58,35,44497,762.0,18.7,34.5,3416.0,5448.0,-16576.0,-355.0,96.0,65.0
71,2017,11,22,22,58,35,45105,762.0,18.7,34.5,3404.0,5492.0,-16420.0,-345.0,20.0,69.0
72,2017,11,22,22,58,36,45714,761.0,18.7,34.5,3516.0,5500.0,-16488.0,-362.0,101.0,83.0
73,2017,11,22,22,58,36,46323,761.0,18.7,34.5,3444.0,5440.0,-16432.0,-370.0,53.0,67.0
74,2017,11,22,22,58,37,46930,761.0,18.7,34.5,3380.0,5472.0,-16472.0,-372.0,68.0,73.0
75,2017,11,22,22,58,38,47535,761.0,18.7,34.5,3360.0,5496.0,-16476.0,-369.0,66.0,79.0
76,2017,11,22,22,58,38,48143,761.0,18.7,34.5,3412.0,5516.0,-16472.0,-359.0,66.0,60.0
77,2017,11,22,22,58,39,48753,762.0,18.7,34.5,3428.0,5460.0,-16596.0,-366.0,92.0,65.0
78,2017,11,22,22,58,39,49363,763.0,18.7,34.5,3440.0,5384.0,-16384.0,-338.0,76.0,75.0
79,2017,11,22,22,58,40,49968,762.0,18.7,34.5,3436.0,5512.0,-16424.0,-352.0,77.0,68.0
80,2017,11,22,22,58,41,50573,762.0,18.7,34.5,3384.0,5416.0,-16308.0,-349.0,87.0,47.0
81,2017,11,22,22,58,41,51177,762.0,18.7,34.5,3420.0,5440.0,-16412.0,-377.0,62.0,70.0
82,2017,11,22,22,58,42,51782,763.0,18.7,34.5,3448.0,5528.0,-16528.0,-425.0,-4.0,62.0
83,2017,11,22,22,58,42,52389,762.0,18.7,34.5,3552.0,5372.0,-16536.0,-354.0,63.0,59.0
84,2017,11,22,22,58,43,53034,762.0,18.7,34.5,3480.0,5448.0,-16476.0,-359.0,29.0,85.0
85,2017,11,22,22,58,44,53643,762.0,18.7,34.5,3472.0,5524.0,-16420.0,-370.0,82.0,66.0
86,2017,11,22,22,58,44,54247,763.0,18.7,34.5,6856.0,4740.0,-15896.0,107.0,811.0,-244.0
87,2017,11,22,22,58,45,54857,761.0,18.7,34.5,3500.0,5452.0,-16444.0,-326.0,94.0,71.0
