ID,Year,Month,Day,Hour,Minute,Second,Millisecond,Brightness,Temperature,Humidity,x Accel,y Accel,z Accel,x Gyro,y Gyro,z Gyro
0,2017,11,24,1,7,50,1750,802.0,17.5,41.0,2496.0,5600.0,-16532.0,-349.0,76.0,73.0
1,2017,11,24,1,7,51,2661,803.0,17.5,41.0,2476.0,5528.0,-16568.0,-340.0,85.0,75.0
2,2017,11,24,1,7,52,3272,802.0,17.5,41.0,2588.0,5732.0,-16544.0,-356.0,71.0,60.0
3,2017,11,24,1,7,52,3882,802.0,17.5,41.0,2560.0,5628.0,-16548.0,-349.0,87.0,68.0
4,2017,11,24,1,7,53,4491,802.0,17.5,41.0,2396.0,5632.0,-16592.0,-345.0,87.0,75.0
5,2017,11,24,1,7,54,5099,802.0,17.5,41.0,2548.0,5628.0,-16612.0,-342.0,81.0,74.0
6,2017,11,24,1,7,54,5708,802.0,17.5,41.0,2392.0,5512.0,-16568.0,-345.0,87.0,78.0
7,2017,11,24,1,7,55,6313,802.0,17.5,41.0,2596.0,5660.0,-16552.0,-339.0,95.0,58.0
8,2017,11,24,1,7,56,6920,804.0,17.5,41.0,2564.0,5464.0,-16596.0,-276.0,153.0,95.0
9,2017,11,24,1,7,56,7526,807.0,17.5,41.0,2528.0,5688.0,-16600.0,-359.0,33.0,63.0
10,2017,11,24,1,7,57,8135,809.0,17.5,41.0,2496.0,5568.0,-16644.0,-459.0,-94.0,48.0
11,2017,11,24,1,7,57,8740,808.0,17.5,41.0,2400.0,5576.0,-16668.0,-275.0,224.0,108.0
12,2017,11,24,1,7,58,9350,810.0,17.5,41.0,2300.0,5644.0,-16648.0,-368.0,-96.0,45.0
13,2017,11,24,1,7,59,9960,808.0,17.5,41.0,2368.0,5548.0,-16424.0,-319.0,261.0,25.0
14,2017,11,24,1,7,59,10568,836.0,17.6,41.0,2656.0,5640.0,-16640.0,-347.0,80.0,48.0
15,2017,11,24,1,8,0,11175,854.0,17.5,41.0,2536.0,5624.0,-16520.0,-406.0,38.0,130.0
16,2017,11,24,1,8,0,11786,864.0,17.5,41.0,2368.0,5480.0,-16624.0,-286.0,132.0,100.0
17,2017,11,24,1,8,1,12392,868.0,17.5,41.0,2724.0,5648.0,-16612.0,-386.0,86.0,81.0
18,2017,11,24,1,8,2,12997,831.0,17.5,41.0,2700.0,5548.0,-16736.0,-153.0,198.0,118.0
19,2017,11,24,1,8,2,13604,788.0,17.6,41.0,2596.0,4632.0,-16396.0,719.0,-290.0,687.0
20,2017,11,24,1,8,3,14214,879.0,17.5,41.0,2440.0,4040.0,-16760.0,-370.0,63.0,137.0
21,2017,11,24,1,8,3,14823,841.0,17.5,41.0,2240.0,4016.0,-16644.0,-369.0,75.0,69.0
22,2017,11,24,1,8,4,15428,753.0,17.5,41.0,2396.0,3980.0,-16664.0,-358.0,76.0,51.0
23,2017,11,24,1,8,5,16036,774.0,17.5,41.0,2192.0,4072.0,-16848.0,-322.0,75.0,67.0
24,2017,11,24,1,8,5,16645,761.0,17.6,41.0,2420.0,4116.0,-16608.0,-314.0,71.0,76.0
25,2017,11,24,1,8,6,17251,711.0,17.6,41.0,2408.0,4036.0,-16604.0,-395.0,76.0,67.0
26,2017,11,24,1,8,6,17857,760.0,17.5,40.9,2328.0,3996.0,-16632.0,-358.0,81.0,65.0
27,2017,11,24,1,8,7,18467,720.0,17.6,41.0,2440.0,3904.0,-16812.0,-729.0,-39.0,4.0
28,2017,11,24,1,8,8,19077,712.0,17.6,41.0,2084.0,5524.0,-16456.0,-339.0,260.0,60.0
29,2017,11,24,1,8,8,19684,710.0,17.6,41.0,2300.0,5588.0,-16408.0,-217.0,498.0,-219.0
30,2017,11,24,1,8,9,20295,709.0,17.6,41.0,2000.0,5668.0,-16712.0,-476.0,7.0,85.0
31,2017,11,24,1,8,10,20901,709.0,17.5,40.9,1944.0,5596.0,-16460.0,-398.0,56.0,36.0
32,2017,11,24,1,8,10,21508,708.0,17.6,41.0,2076.0,5704.0,-16512.0,-360.0,75.0,72.0
33,2017,11,24,1,8,11,22112,709.0,17.6,40.9,2112.0,5620.0,-16740.0,-358.0,82.0,57.0
34,2017,11,24,1,8,11,22715,709.0,17.6,40.9,2148.0,5784.0,-16684.0,-356.0,78.0,57.0
35,2017,11,24,1,8,12,23322,708.0,17.6,40.9,2136.0,5620.0,-16584.0,-360.0,59.0,72.0
36,2017,11,24,1,8,13,23929,708.0,17.6,40.9,1984.0,5668.0,-16604.0,-353.0,62.0,57.0
37,2017,11,24,1,8,13,24537,708.0,17.6,40.9,1992.0,5568.0,-16676.0,-375.0,67.0,77.0
38,2017,11,24,1,8,14,25145,709.0,17.6,40.9,2204.0,5616.0,-16464.0,-342.0,127.0,42.0
39,2017,11,24,1,8,14,25753,709.0,17.6,40.9,2112.0,5720.0,-16608.0,-369.0,146.0,48.0
40,2017,11,24,1,8,15,26361,709.0,17.6,40.9,1992.0,5584.0,-16632.0,-248.0,276.0,12.0
41,2017,11,24,1,8,16,26968,708.0,17.6,40.9,2064.0,5672.0,-16476.0,-346.0,80.0,68.0
42,2017,11,24,1,8,16,27575,708.0,17.6,40.9,1984.0,5884.0,-16416.0,-281.0,54.0,143.0
43,2017,11,24,1,8,17,28187,712.0,17.6,40.9,2028.0,5748.0,-16608.0,-414.0,7.0,80.0
44,2017,11,24,1,8,17,28791,713.0,17.6,40.9,2048.0,5684.0,-16484.0,-376.0,38.0,29.0
45,2017,11,24,1,8,18,29398,713.0,17.5,40.8,1980.0,5596.0,-16520.0,-354.0,111.0,65.0
46,2017,11,24,1,8,19,30007,713.0,17.6,40.9,2088.0,5664.0,-16556.0,-350.0,67.0,78.0
47,2017,11,24,1,8,19,30616,708.0,17.5,40.8,2052.0,5612.0,-16728.0,-445.0,-14.0,-21.0
48,2017,11,24,1,8,20,31222,708.0,17.6,40.9,2412.0,6160.0,-16528.0,-432.0,-680.0,21.0
49,2017,11,24,1,8,20,31834,709.0,17.6,40.9,2152.0,5716.0,-16520.0,-346.0,117.0,53.0
50,2017,11,24,1,8,21,32441,709.0,17.6,40.9,1832.0,5668.0,-16580.0,-387.0,64.0,83.0
51,2017,11,24,1,8,22,33048,708.0,17.6,40.9,2116.0,5804.0,-16576.0,-377.0,33.0,41.0
52,2017,11,24,1,8,22,33653,708.0,17.6,40.9,2136.0,5708.0,-16524.0,-392.0,8.0,99.0
53,2017,11,24,1,8,23,34262,716.0,17.6,40.9,1944.0,5696.0,-16688.0,-373.0,62.0,67.0
54,2017,11,24,1,8,23,34868,732.0,17.6,40.9,2052.0,5672.0,-16512.0,-363.0,60.0,70.0
55,2017,11,24,1,8,24,35472,748.0,17.6,40.9,1888.0,5656.0,-16520.0,-360.0,33.0,76.0
56,2017,11,24,1,8,25,36074,750.0,17.6,40.9,2144.0,5664.0,-16636.0,-292.0,214.0,73.0
57,2017,11,24,1,8,25,36682,724.0,17.5,40.8,2052.0,5596.0,-16660.0,-352.0,139.0,68.0
58,2017,11,24,1,8,26,37289,724.0,17.6,40.8,2228.0,5672.0,-16460.0,-357.0,79.0,75.0
59,2017,11,24,1,8,27,37896,723.0,17.6,40.8,2064.0,5584.0,-16600.0,-398.0,79.0,59.0
60,2017,11,24,1,8,27,38503,711.0,17.6,40.8,2132.0,5544.0,-16520.0,-298.0,239.0,29.0
61,2017,11,24,1,8,28,39114,694.0,17.6,40.8,2044.0,5620.0,-16540.0,-406.0,-34.0,69.0
62,2017,11,24,1,8,28,39722,696.0,17.6,40.8,2108.0,5656.0,-16444.0,-340.0,78.0,78.0
63,2017,11,24,1,8,29,40331,695.0,17.6,40.8,2064.0,5612.0,-16476.0,-382.0,60.0,83.0
64,2017,11,24,1,8,30,40939,695.0,17.6,40.8,2032.0,5716.0,-16524.0,-364.0,60.0,60.0
65,2017,11,24,1,8,30,41548,694.0,17.6,40.8,2072.0,5620.0,-16504.0,-364.0,47.0,89.0
66,2017,11,24,1,8,31,42151,696.0,17.6,40.8,1988.0,5604.0,-16636.0,-361.0,67.0,79.0
67,2017,11,24,1,8,31,42755,690.0,17.5,40.7,2232.0,5532.0,-16340.0,-367.0,-106.0,88.0
68,2017,11,24,1,8,32,43358,689.0,17.6,40.8,1908.0,5568.0,-16560.0,-284.0,164.0,78.0
69,2017,11,24,1,8,33,43965,694.0,17.6,40.8,1952.0,5596.0,-16508.0,-387.0,-32.0,83.0
70,2017,11,24,1,8,33,44574,700.0,17.6,40.8,1904.0,5648.0,-16672.0,-400.0,3.0,73.0
71,2017,11,24,1,8,34,45181,689.0,17.6,40.8,2156.0,5724.0,-16568.0,-290.0,169.0,98.0
72,2017,11,24,1,8,34,45790,684.0,17.6,40.8,2032.0,5588.0,-16908.0,-178.0,242.0,116.0
73,2017,11,24,1,8,35,46396,686.0,17.6,40.8,2044.0,5548.0,-16572.0,-393.0,35.0,54.0
74,2017,11,24,1,8,36,47004,686.0,17.6,40.8,1912.0,5596.0,-16520.0,-398.0,62.0,75.0
75,2017,11,24,1,8,36,47609,700.0,17.6,40.8,2056.0,5676.0,-16604.0,-472.0,-230.0,50.0
76,2017,11,24,1,8,37,48216,693.0,17.6,40.7,1204.0,5832.0,-17332.0,-295.0,-466.0,220.0
77,2017,11,24,1,8,37,48824,694.0,17.6,40.7,1328.0,5668.0,-16856.0,-72.0,-717.0,-237.0
78,2017,11,24,1,8,38,49431,704.0,17.6,40.7,1536.0,5624.0,-16544.0,-368.0,-72.0,73.0
79,2017,11,24,1,8,39,50039,687.0,17.6,40.7,1524.0,5548.0,-16660.0,-276.0,164.0,20.0
80,2017,11,24,1,8,39,50650,686.0,17.6,40.7,1676.0,5564.0,-16604.0,-368.0,57.0,73.0
81,2017,11,24,1,8,40,51253,685.0,17.6,40.7,1656.0,5504.0,-16580.0,-295.0,180.0,110.0
82,2017,11,24,1,8,40,51859,709.0,17.6,40.7,2216.0,5384.0,-13700.0,-3834.0,2611.0,1495.0
83,2017,11,24,1,8,41,52462,715.0,17.6,40.7,1892.0,6772.0,-17512.0,-264.0,608.0,79.0
84,2017,11,24,1,8,42,53069,713.0,17.6,40.7,1972.0,5688.0,-14032.0,-341.0,-345.0,-400.0
85,2017,11,24,1,8,42,53672,710.0,17.6,40.7,1556.0,5800.0,-16612.0,-260.0,215.0,43.0
86,2017,11,24,1,8,43,54277,697.0,17.6,40.7,1780.0,5884.0,-16696.0,-339.0,11.0,84.0
87,2017,11,24,1,8,43,54881,696.0,17.6,40.7,1592.0,5848.0,-16648.0,-387.0,-42.0,51.0
88,2017,11,24,1,8,44,55488,690.0,17.6,40.7,1748.0,5960.0,-16600.0,-213.0,353.0,-15.0
89,2017,11,24,1,8,45,56092,690.0,17.6,40.7,1916.0,5860.0,-16668.0,-355.0,74.0,19.0
90,2017,11,24,1,8,45,56699,702.0,17.6,40.6,2504.0,5816.0,-16484.0,-317.0,594.0,172.0
91,2017,11,24,1,8,46,57304,698.0,17.6,40.6,2636.0,5652.0,-16596.0,-370.0,88.0,76.0
